Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
0.30	0.00	0.00
0.31	0.00	0.00
0.32	0.00	0.00
0.33	0.00	0.00
0.34	0.00	0.00
0.35	0.00	0.00
0.36	0.00	0.00
0.37	0.01	0.01
0.38	0.01	0.01
0.39	0.01	0.01
0.40	0.01	0.01
0.41	0.02	0.02
0.42	0.02	0.02
0.43	0.02	0.02
0.44	0.03	0.03
0.45	0.04	0.04
0.46	0.04	0.04
0.47	0.05	0.05
0.48	0.06	0.06
0.49	0.07	0.07
0.50	0.08	0.08
0.51	0.09	0.09
0.52	0.11	0.11
0.53	0.12	0.12
0.54	0.14	0.14
0.55	0.16	0.16
0.56	0.18	0.18
0.57	0.20	0.20
0.58	0.22	0.22
0.59	0.25	0.25
0.60	0.28	0.28
0.61	0.31	0.31
0.62	0.34	0.34
0.63	0.37	0.37
0.64	0.41	0.41
0.65	0.45	0.45
0.66	0.49	0.49
0.67	0.53	0.53
0.68	0.57	0.57
0.69	0.62	0.62
0.70	0.67	0.67
0.71	0.72	0.72
0.72	0.78	0.78
0.73	0.84	0.84
0.74	0.90	0.90
0.75	0.96	0.96
0.76	1.02	1.02
0.77	1.09	1.09
0.78	1.16	1.16
0.79	1.23	1.23
0.80	1.31	1.31
0.81	1.39	1.39
0.82	1.47	1.47
0.83	1.55	1.55
0.84	1.64	1.64
0.85	1.73	1.73
0.86	1.82	1.82
0.87	1.91	1.91
0.88	2.01	2.01
0.89	2.11	2.11
0.90	2.21	2.21
0.91	2.31	2.31
0.92	2.42	2.42
0.93	2.53	2.53
0.94	2.64	2.64
0.95	2.75	2.75
0.96	2.87	2.87
0.97	2.99	2.99
0.98	3.11	3.11
0.99	3.23	3.23
1.00	3.35	3.35
1.01	3.48	3.48
1.02	3.61	3.61
1.03	3.74	3.74
1.04	3.88	3.88
1.05	4.01	4.01
1.06	4.15	4.15
1.07	4.29	4.29
1.08	4.43	4.43
1.09	4.58	4.58
1.10	4.72	4.72
1.11	4.87	4.87
1.12	5.02	5.02
1.13	5.17	5.17
1.14	5.32	5.32
1.15	5.48	5.48
1.16	5.63	5.63
1.17	5.79	5.79
1.18	5.95	5.95
1.19	6.11	6.11
1.20	6.28	6.28
1.21	6.44	6.44
1.22	6.60	6.60
1.23	6.77	6.77
1.24	6.94	6.94
1.25	7.11	7.11
1.26	7.28	7.28
1.27	7.45	7.45
1.28	7.63	7.63
1.29	7.80	7.80
1.30	7.98	7.98
1.31	8.15	8.15
1.32	8.33	8.33
1.33	8.51	8.51
1.34	8.69	8.69
1.35	8.87	8.87
1.36	9.05	9.05
1.37	9.23	9.23
1.38	9.42	9.42
1.39	9.60	9.60
1.40	9.79	9.79
1.41	9.97	9.97
1.42	10.16	10.16
1.43	10.34	10.34
1.44	10.53	10.53
1.45	10.72	10.72
1.46	10.91	10.91
1.47	11.10	11.10
1.48	11.29	11.29
1.49	11.48	11.48
1.50	11.67	11.67
1.51	11.86	11.86
1.52	12.05	12.05
1.53	12.25	12.25
