Wavelength(micron)	Fp/F*(Blackbody & heat fully redistribution ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
0.30	0.00	0.00
0.31	0.00	0.00
0.32	0.00	0.00
0.33	0.00	0.00
0.34	0.00	0.00
0.35	0.00	0.00
0.36	0.00	0.00
0.37	0.00	0.00
0.38	0.00	0.00
0.39	0.00	0.00
0.40	0.00	0.00
0.41	0.00	0.00
0.42	0.00	0.00
0.43	0.00	0.00
0.44	0.00	0.00
0.45	0.00	0.00
0.46	0.00	0.00
0.47	0.00	0.00
0.48	0.00	0.00
0.49	0.00	0.00
0.50	0.00	0.00
0.51	0.00	0.00
0.52	0.00	0.00
0.53	0.00	0.00
0.54	0.00	0.00
0.55	0.00	0.00
0.56	0.00	0.00
0.57	0.00	0.00
0.58	0.00	0.00
0.59	0.00	0.00
0.60	0.00	0.00
0.61	0.01	0.01
0.62	0.01	0.01
0.63	0.01	0.01
0.64	0.01	0.01
0.65	0.01	0.01
0.66	0.01	0.01
0.67	0.01	0.01
0.68	0.01	0.01
0.69	0.02	0.02
0.70	0.02	0.02
0.71	0.02	0.02
0.72	0.03	0.03
0.73	0.03	0.03
0.74	0.03	0.03
0.75	0.04	0.04
0.76	0.04	0.04
0.77	0.05	0.05
0.78	0.05	0.05
0.79	0.06	0.06
0.80	0.06	0.06
0.81	0.07	0.07
0.82	0.08	0.08
0.83	0.08	0.08
0.84	0.09	0.09
0.85	0.10	0.10
0.86	0.11	0.11
0.87	0.12	0.12
0.88	0.13	0.13
0.89	0.14	0.14
0.90	0.15	0.15
0.91	0.16	0.16
0.92	0.18	0.18
0.93	0.19	0.19
0.94	0.20	0.20
0.95	0.22	0.22
0.96	0.23	0.23
0.97	0.25	0.25
0.98	0.27	0.27
0.99	0.29	0.29
1.00	0.31	0.31
1.01	0.32	0.32
1.02	0.35	0.35
1.03	0.37	0.37
1.04	0.39	0.39
1.05	0.41	0.41
1.06	0.44	0.44
1.07	0.46	0.46
1.08	0.49	0.49
1.09	0.52	0.52
1.10	0.54	0.54
1.11	0.57	0.57
1.12	0.60	0.60
1.13	0.63	0.63
1.14	0.66	0.66
1.15	0.70	0.70
1.16	0.73	0.73
1.17	0.77	0.77
1.18	0.80	0.80
1.19	0.84	0.84
1.20	0.88	0.88
1.21	0.92	0.92
1.22	0.96	0.96
1.23	1.00	1.00
1.24	1.04	1.04
1.25	1.08	1.08
1.26	1.13	1.13
1.27	1.17	1.17
1.28	1.22	1.22
1.29	1.26	1.26
1.30	1.31	1.31
1.31	1.36	1.36
1.32	1.41	1.41
1.33	1.46	1.46
1.34	1.51	1.51
1.35	1.57	1.57
1.36	1.62	1.62
1.37	1.68	1.68
1.38	1.73	1.73
1.39	1.79	1.79
1.40	1.85	1.85
1.41	1.91	1.91
1.42	1.97	1.97
1.43	2.03	2.03
1.44	2.09	2.09
1.45	2.15	2.15
1.46	2.21	2.21
1.47	2.28	2.28
1.48	2.35	2.35
1.49	2.41	2.41
1.50	2.48	2.48
1.51	2.55	2.55
