Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
0.30	1.76	4.39
0.31	1.62	4.04
0.32	1.50	3.75
0.33	1.43	3.57
0.34	1.41	3.50
0.35	1.42	3.54
0.36	1.45	3.61
0.37	1.44	3.58
0.38	1.38	3.44
0.39	1.30	3.21
0.40	1.21	2.99
0.41	1.14	2.82
0.42	1.10	2.70
0.43	1.08	2.64
0.44	1.06	2.56
0.45	1.04	2.51
0.46	1.03	2.46
0.47	1.01	2.41
0.48	1.00	2.35
0.49	0.99	2.30
0.50	1.00	2.31
0.51	1.03	2.36
0.52	1.06	2.42
0.53	1.10	2.47
0.54	1.14	2.53
0.55	1.17	2.59
0.56	1.21	2.65
0.57	1.26	2.72
0.58	1.30	2.78
0.59	1.34	2.85
0.60	1.39	2.92
0.61	1.44	2.99
0.62	1.49	3.06
0.63	1.54	3.14
0.64	1.60	3.21
0.65	1.66	3.29
0.66	1.71	3.37
0.67	1.78	3.45
0.68	1.84	3.54
0.69	1.90	3.63
0.70	1.97	3.71
0.71	2.04	3.80
0.72	2.11	3.90
0.73	2.18	3.99
0.74	2.25	4.09
0.75	2.33	4.18
0.76	2.41	4.28
0.77	2.48	4.38
0.78	2.57	4.49
0.79	2.65	4.59
0.80	2.73	4.70
0.81	2.82	4.80
0.82	2.91	4.91
0.83	2.99	5.02
0.84	3.08	5.13
0.85	3.18	5.25
0.86	3.27	5.36
0.87	3.36	5.48
0.88	3.46	5.60
0.89	3.55	5.71
0.90	3.65	5.83
0.91	3.75	5.95
0.92	3.85	6.08
0.93	3.95	6.20
0.94	4.05	6.32
0.95	4.16	6.45
0.96	4.26	6.57
0.97	4.36	6.70
0.98	4.47	6.82
0.99	4.57	6.95
1.00	4.68	7.08
1.01	4.79	7.21
1.02	4.89	7.34
1.03	5.00	7.47
1.04	5.11	7.60
1.05	5.22	7.73
1.06	5.33	7.86
1.07	5.43	7.99
1.08	5.54	8.12
1.09	5.65	8.25
1.10	5.76	8.38
1.11	5.87	8.51
1.12	5.98	8.64
1.13	6.09	8.77
1.14	6.20	8.91
1.15	6.31	9.04
1.16	6.42	9.17
1.17	6.53	9.30
1.18	6.63	9.43
1.19	6.74	9.56
1.20	6.85	9.69
1.21	6.96	9.82
1.22	7.06	9.94
1.23	7.17	10.07
1.24	7.27	10.20
1.25	7.38	10.33
1.26	7.48	10.45
1.27	7.58	10.58
1.28	7.67	10.71
1.29	7.75	10.84
1.30	7.83	10.97
1.31	7.93	11.09
1.32	8.03	11.21
1.33	8.13	11.33
1.34	8.23	11.45
1.35	8.34	11.56
1.36	8.44	11.68
1.37	8.54	11.79
1.38	8.63	11.91
1.39	8.73	12.02
1.40	8.82	12.14
1.41	8.90	12.25
1.42	8.98	12.36
1.43	9.05	12.47
1.44	9.13	12.57
1.45	9.20	12.68
1.46	9.27	12.78
1.47	9.34	12.88
1.48	9.40	12.98
1.49	9.46	13.08
1.50	9.53	13.17
1.51	9.59	13.26
1.52	9.66	13.36
1.53	9.73	13.45
1.54	9.81	13.55
1.55	9.89	13.64
1.56	9.96	13.74
1.57	10.03	13.83
1.58	10.11	13.92
1.59	10.18	14.01
1.60	10.25	14.10
1.61	10.31	14.18
1.62	10.36	14.26
1.63	10.41	14.34
1.64	10.46	14.41
1.65	10.51	14.49
1.66	10.56	14.56
1.67	10.61	14.63
1.68	10.66	14.71
1.69	10.72	14.79
1.70	10.78	14.86
1.71	10.84	14.94
1.72	10.90	15.01
1.73	10.95	15.09
1.74	11.01	15.16
1.75	11.06	15.23
1.76	11.11	15.30
1.77	11.16	15.36
1.78	11.21	15.43
1.79	11.26	15.50
1.80	11.32	15.57
1.81	11.37	15.64
1.82	11.42	15.70
1.83	11.48	15.77
1.84	11.53	15.83
1.85	11.58	15.90
1.86	11.62	15.96
1.87	11.67	16.02
1.88	11.72	16.08
1.89	11.76	16.14
1.90	11.81	16.20
1.91	11.85	16.26
1.92	11.90	16.31
1.93	11.94	16.37
1.94	11.98	16.43
1.95	12.03	16.48
1.96	12.07	16.54
1.97	12.12	16.60
1.98	12.17	16.65
1.99	12.21	16.71
2.00	12.25	16.76
2.01	12.29	16.82
2.02	12.34	16.87
2.03	12.38	16.92
2.04	12.42	16.97
2.05	12.46	17.02
2.06	12.49	17.07
2.07	12.53	17.12
2.08	12.57	17.17
2.09	12.60	17.21
2.10	12.64	17.26
2.11	12.67	17.31
2.12	12.72	17.36
2.13	12.76	17.41
2.14	12.80	17.46
2.15	12.84	17.50
2.16	12.88	17.55
2.17	12.92	17.60
2.18	12.96	17.65
2.19	13.00	17.69
2.20	13.03	17.74
2.21	13.07	17.78
2.22	13.11	17.83
2.23	13.14	17.87
2.24	13.18	17.91
2.25	13.21	17.96
2.26	13.24	18.00
2.27	13.28	18.04
2.28	13.31	18.08
2.29	13.34	18.12
2.30	13.37	18.16
2.31	13.40	18.20
2.32	13.43	18.23
2.33	13.47	18.28
2.34	13.51	18.32
2.35	13.55	18.37
2.36	13.59	18.41
2.37	13.62	18.45
2.38	13.66	18.50
