Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
0.30	0.86	2.15
0.31	0.84	2.09
0.32	0.81	2.02
0.33	0.78	1.95
0.34	0.75	1.87
0.35	0.72	1.81
0.36	0.71	1.77
0.37	0.72	1.79
0.38	0.73	1.82
0.39	0.75	1.85
0.40	0.76	1.87
0.41	0.76	1.87
0.42	0.75	1.85
0.43	0.75	1.84
0.44	0.74	1.82
0.45	0.74	1.81
0.46	0.74	1.79
0.47	0.74	1.78
0.48	0.74	1.76
0.49	0.74	1.76
0.50	0.75	1.77
0.51	0.76	1.78
0.52	0.77	1.79
0.53	0.78	1.81
0.54	0.80	1.82
0.55	0.82	1.84
0.56	0.83	1.86
0.57	0.85	1.88
0.58	0.87	1.90
0.59	0.89	1.91
0.60	0.91	1.93
0.61	0.93	1.95
0.62	0.96	1.98
0.63	0.99	2.00
0.64	1.01	2.03
0.65	1.05	2.05
0.66	1.08	2.08
0.67	1.11	2.12
0.68	1.15	2.15
0.69	1.19	2.19
0.70	1.23	2.23
0.71	1.27	2.27
0.72	1.32	2.31
0.73	1.36	2.35
0.74	1.41	2.40
0.75	1.46	2.45
0.76	1.52	2.50
0.77	1.57	2.55
0.78	1.63	2.61
0.79	1.69	2.67
0.80	1.75	2.73
0.81	1.82	2.79
0.82	1.89	2.86
0.83	1.95	2.92
0.84	2.03	2.99
0.85	2.10	3.07
0.86	2.18	3.14
0.87	2.26	3.22
0.88	2.34	3.29
0.89	2.42	3.38
0.90	2.50	3.46
0.91	2.59	3.54
0.92	2.68	3.63
0.93	2.77	3.72
0.94	2.87	3.81
0.95	2.96	3.91
0.96	3.06	4.00
0.97	3.16	4.10
0.98	3.26	4.20
0.99	3.37	4.30
1.00	3.48	4.41
1.01	3.58	4.51
1.02	3.69	4.62
1.03	3.81	4.73
1.04	3.92	4.84
1.05	4.04	4.96
1.06	4.16	5.07
1.07	4.28	5.19
1.08	4.40	5.31
1.09	4.52	5.43
1.10	4.65	5.55
1.11	4.77	5.68
1.12	4.90	5.81
1.13	5.03	5.93
1.14	5.16	6.06
1.15	5.30	6.19
1.16	5.43	6.33
1.17	5.57	6.46
1.18	5.71	6.60
1.19	5.85	6.74
1.20	5.99	6.87
1.21	6.13	7.01
1.22	6.27	7.16
1.23	6.42	7.30
1.24	6.56	7.44
1.25	6.71	7.59
1.26	6.86	7.74
1.27	7.00	7.89
1.28	7.15	8.04
1.29	7.30	8.20
1.30	7.45	8.35
1.31	7.60	8.50
1.32	7.76	8.66
1.33	7.91	8.81
1.34	8.07	8.97
1.35	8.22	9.12
1.36	8.38	9.28
1.37	8.54	9.44
1.38	8.69	9.60
1.39	8.85	9.76
1.40	9.00	9.92
1.41	9.16	10.08
1.42	9.32	10.24
1.43	9.48	10.40
1.44	9.64	10.57
1.45	9.80	10.73
1.46	9.96	10.89
1.47	10.13	11.05
1.48	10.29	11.22
1.49	10.45	11.38
1.50	10.61	11.55
1.51	10.78	11.71
1.52	10.94	11.88
1.53	11.10	12.04
1.54	11.27	12.21
1.55	11.43	12.37
1.56	11.60	12.54
1.57	11.76	12.71
1.58	11.93	12.87
1.59	12.09	13.04
1.60	12.26	13.21
1.61	12.43	13.37
1.62	12.59	13.54
1.63	12.76	13.71
1.64	12.93	13.87
1.65	13.09	14.04
1.66	13.26	14.21
1.67	13.42	14.38
1.68	13.59	14.54
1.69	13.76	14.71
1.70	13.93	14.88
1.71	14.09	15.05
1.72	14.26	15.21
1.73	14.43	15.38
1.74	14.60	15.55
1.75	14.76	15.72
1.76	14.93	15.88
1.77	15.09	16.05
1.78	15.26	16.22
1.79	15.42	16.38
1.80	15.59	16.55
1.81	15.76	16.72
1.82	15.92	16.88
1.83	16.09	17.05
1.84	16.26	17.22
1.85	16.42	17.38
1.86	16.59	17.55
1.87	16.76	17.72
1.88	16.92	17.88
1.89	17.09	18.05
1.90	17.25	18.21
1.91	17.42	18.38
1.92	17.58	18.54
1.93	17.75	18.71
1.94	17.91	18.87
1.95	18.07	19.03
1.96	18.23	19.20
1.97	18.39	19.36
1.98	18.56	19.52
1.99	18.72	19.68
2.00	18.88	19.84
2.01	19.04	20.01
2.02	19.20	20.17
2.03	19.36	20.33
2.04	19.52	20.49
2.05	19.68	20.65
2.06	19.84	20.81
2.07	20.00	20.97
2.08	20.16	21.13
2.09	20.32	21.29
2.10	20.48	21.45
2.11	20.64	21.61
2.12	20.80	21.77
2.13	20.96	21.92
2.14	21.11	22.08
2.15	21.27	22.24
2.16	21.43	22.40
2.17	21.58	22.55
2.18	21.74	22.71
2.19	21.90	22.86
2.20	22.05	23.02
2.21	22.20	23.17
2.22	22.36	23.33
2.23	22.51	23.48
2.24	22.67	23.63
2.25	22.82	23.79
2.26	22.97	23.94
2.27	23.12	24.09
2.28	23.27	24.24
2.29	23.43	24.39
2.30	23.58	24.54
2.31	23.73	24.69
2.32	23.88	24.84
2.33	24.03	24.99
2.34	24.17	25.14
2.35	24.32	25.29
2.36	24.47	25.44
2.37	24.62	25.59
2.38	24.77	25.73
2.39	24.91	25.88
2.40	25.06	26.03
2.41	25.20	26.17
2.42	25.35	26.32
2.43	25.49	26.46
2.44	25.64	26.61
2.45	25.78	26.75
2.46	25.92	26.89
2.47	26.07	27.04
2.48	26.21	27.18
2.49	26.35	27.32
2.50	26.50	27.46
2.51	26.64	27.61
2.52	26.78	27.75
2.53	26.93	27.89
2.54	27.07	28.03
2.55	27.21	28.17
2.56	27.35	28.31
2.57	27.49	28.45
2.58	27.63	28.59
2.59	27.77	28.73
2.60	27.91	28.87
2.61	28.05	29.01
2.62	28.18	29.14
2.63	28.32	29.28
2.64	28.46	29.42
2.65	28.59	29.55
2.66	28.73	29.69
2.67	28.87	29.82
2.68	29.00	29.96
2.69	29.14	30.09
2.70	29.27	30.22
2.71	29.40	30.36
2.72	29.54	30.49
2.73	29.67	30.62
2.74	29.80	30.75
2.75	29.93	30.88
2.76	30.06	31.01
2.77	30.19	31.14
2.78	30.32	31.27
2.79	30.44	31.40
2.80	30.57	31.52
2.81	30.70	31.65
2.82	30.82	31.78
2.83	30.95	31.90
2.84	31.08	32.03
2.85	31.20	32.15
2.86	31.33	32.28
2.87	31.45	32.40
2.88	31.57	32.53
2.89	31.70	32.65
2.90	31.82	32.78
2.91	31.95	32.90
2.92	32.07	33.02
2.93	32.19	33.15
2.94	32.32	33.27
2.95	32.44	33.39
2.96	32.56	33.51
2.97	32.68	33.63
2.98	32.80	33.75
2.99	32.92	33.87
3.00	33.04	33.99
3.01	33.16	34.11
3.02	33.28	34.23
3.03	33.40	34.35
3.04	33.52	34.47
3.05	33.64	34.59
3.06	33.76	34.70
3.07	33.87	34.82
3.08	33.99	34.93
3.09	34.10	35.05
3.10	34.21	35.16
3.11	34.33	35.27
