Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
0.30	0.00	0.86	2.15	1.76	4.39	0.00
0.31	0.00	0.84	2.09	1.62	4.04	0.00
0.32	0.00	0.81	2.02	1.50	3.75	0.00
0.33	0.00	0.78	1.95	1.43	3.57	0.00
0.34	0.00	0.75	1.87	1.41	3.50	0.00
0.35	0.00	0.72	1.81	1.42	3.54	0.00
0.36	0.00	0.71	1.77	1.45	3.61	0.00
0.37	0.01	0.72	1.79	1.44	3.58	0.00
0.38	0.01	0.73	1.82	1.38	3.44	0.00
0.39	0.01	0.75	1.85	1.30	3.21	0.00
0.40	0.01	0.76	1.87	1.21	2.99	0.00
0.41	0.02	0.76	1.87	1.14	2.82	0.00
0.42	0.02	0.75	1.85	1.10	2.70	0.00
0.43	0.02	0.75	1.84	1.08	2.64	0.00
0.44	0.03	0.74	1.82	1.06	2.56	0.00
0.45	0.04	0.74	1.81	1.04	2.51	0.00
0.46	0.04	0.74	1.79	1.03	2.46	0.00
0.47	0.05	0.74	1.78	1.01	2.41	0.00
0.48	0.06	0.74	1.76	1.00	2.35	0.00
0.49	0.07	0.74	1.76	0.99	2.30	0.00
0.50	0.08	0.75	1.77	1.00	2.31	0.00
0.51	0.09	0.76	1.78	1.03	2.36	0.00
0.52	0.11	0.77	1.79	1.06	2.42	0.00
0.53	0.12	0.78	1.81	1.10	2.47	0.00
0.54	0.14	0.80	1.82	1.14	2.53	0.00
0.55	0.16	0.82	1.84	1.17	2.59	0.00
0.56	0.18	0.83	1.86	1.21	2.65	0.00
0.57	0.20	0.85	1.88	1.26	2.72	0.00
0.58	0.22	0.87	1.90	1.30	2.78	0.00
0.59	0.25	0.89	1.91	1.34	2.85	0.00
0.60	0.28	0.91	1.93	1.39	2.92	0.00
0.61	0.31	0.93	1.95	1.44	2.99	0.00
0.62	0.34	0.96	1.98	1.49	3.06	0.00
0.63	0.37	0.99	2.00	1.54	3.14	0.00
0.64	0.41	1.01	2.03	1.60	3.21	0.00
0.65	0.45	1.05	2.05	1.66	3.29	0.00
0.66	0.49	1.08	2.08	1.71	3.37	0.00
0.67	0.53	1.11	2.12	1.78	3.45	0.00
0.68	0.57	1.15	2.15	1.84	3.54	0.00
0.69	0.62	1.19	2.19	1.90	3.63	0.00
0.70	0.67	1.23	2.23	1.97	3.71	0.00
0.71	0.72	1.27	2.27	2.04	3.80	0.00
0.72	0.78	1.32	2.31	2.11	3.90	0.00
0.73	0.84	1.36	2.35	2.18	3.99	0.00
0.74	0.90	1.41	2.40	2.25	4.09	0.00
0.75	0.96	1.46	2.45	2.33	4.18	0.00
0.76	1.02	1.52	2.50	2.41	4.28	0.00
0.77	1.09	1.57	2.55	2.48	4.38	0.00
0.78	1.16	1.63	2.61	2.57	4.49	0.00
0.79	1.23	1.69	2.67	2.65	4.59	0.00
0.80	1.31	1.75	2.73	2.73	4.70	0.00
0.81	1.39	1.82	2.79	2.82	4.80	0.00
