Orbital Phase(normalized)	Fp/F*(Blackbody ppm)	Fp/F*(Low albedo & Specular ppm)	Fp/F*(Low albedo & Lambert ppm)	Fp/F*(High albedo & Specular ppm)	Fp/F*(High albedo & Lambert ppm)
0.00	0.00	10.60	0.10	10.34	0.11
0.01	0.00	10.60	0.10	10.34	0.11
0.02	0.00	10.48	0.12	10.37	0.12
0.03	0.00	10.28	0.13	10.41	0.15
0.03	0.00	10.01	0.16	10.49	0.19
0.04	0.00	9.64	0.20	10.54	0.24
0.05	0.00	9.20	0.24	10.58	0.31
0.06	0.00	8.70	0.29	10.61	0.40
0.07	0.00	8.16	0.35	10.60	0.50
0.08	0.00	8.99	1.77	11.90	1.88
0.08	0.00	8.86	2.24	12.25	2.34
0.09	0.00	8.85	2.80	12.75	2.88
0.10	0.00	8.96	3.45	13.26	3.49
0.11	0.00	9.20	4.20	13.84	4.18
0.12	0.00	9.58	5.05	14.47	4.96
0.13	0.00	10.10	6.00	15.15	5.82
0.14	0.00	10.76	7.07	15.90	6.78
0.14	0.00	11.56	8.25	16.70	7.83
0.15	0.00	12.51	9.55	17.58	8.97
0.16	0.00	13.58	10.96	18.50	10.21
0.17	0.00	14.77	12.49	19.42	11.54
0.18	0.00	16.09	14.13	20.39	12.96
0.19	0.00	17.55	15.90	21.44	14.48
0.19	0.00	19.12	17.77	22.53	16.09
0.20	0.00	20.82	19.76	23.68	17.79
0.21	0.00	22.63	21.85	24.87	19.58
0.22	0.00	24.52	24.05	26.03	21.45
0.23	0.00	26.54	26.35	27.32	23.40
0.24	0.00	28.65	28.74	28.59	25.43
0.25	0.00	30.85	31.22	29.92	27.53
0.25	0.00	33.15	33.79	31.31	29.69
0.26	0.00	35.52	36.43	32.70	31.93
0.27	0.00	37.96	39.15	34.13	34.23
0.28	0.00	40.46	41.93	35.55	36.57
0.29	0.00	43.02	44.76	37.00	38.94
0.30	0.00	45.63	47.63	38.47	41.35
0.31	0.00	48.27	50.53	39.99	43.77
0.31	0.00	50.92	53.44	41.46	46.21
0.32	0.00	53.60	56.36	42.95	48.65
0.33	0.00	56.25	59.28	44.36	51.08
0.34	0.00	58.91	62.18	45.85	53.50
0.35	0.00	61.53	65.04	47.26	55.89
0.36	0.00	64.14	67.87	48.71	58.24
0.36	0.00	66.68	70.64	50.05	60.55
0.37	0.00	69.17	73.34	51.41	62.79
0.38	0.00	71.58	75.96	52.71	64.97
0.39	0.00	73.89	78.48	53.90	67.07
0.40	0.00	76.13	80.89	55.13	69.07
0.41	0.00	78.25	83.18	56.29	70.98
0.42	0.00	80.24	85.33	57.38	72.77
0.42	0.00	82.08	87.33	58.32	74.43
0.43	0.00	0.00	0.00	0.00	0.00
0.44	0.00	0.00	0.00	0.00	0.00
0.45	0.00	0.00	0.00	0.00	0.00
0.46	0.00	0.00	0.00	0.00	0.00
0.47	0.00	0.00	0.00	0.00	0.00
0.47	0.00	0.00	0.00	0.00	0.00
0.48	0.00	0.00	0.00	0.00	0.00
0.49	0.00	0.00	0.00	0.00	0.00
0.50	0.00	0.00	0.00	0.00	0.00
0.50	0.00	0.00	0.00	0.00	0.00
0.51	0.00	0.00	0.00	0.00	0.00
0.52	0.00	0.00	0.00	0.00	0.00
0.53	0.00	0.00	0.00	0.00	0.00
0.53	0.00	0.00	0.00	0.00	0.00
0.54	0.00	0.00	0.00	0.00	0.00
0.55	0.00	0.00	0.00	0.00	0.00
0.56	0.00	0.00	0.00	0.00	0.00
0.57	0.00	0.00	0.00	0.00	0.00
0.58	0.00	82.08	87.33	58.32	74.43
0.58	0.00	80.24	85.33	57.38	72.77
0.59	0.00	78.25	83.18	56.29	70.98
0.60	0.00	76.13	80.89	55.13	69.07
0.61	0.00	73.89	78.48	53.90	67.07
0.62	0.00	71.58	75.96	52.71	64.97
0.63	0.00	69.17	73.34	51.41	62.79
0.64	0.00	66.68	70.64	50.05	60.55
0.64	0.00	64.14	67.87	48.71	58.24
0.65	0.00	61.53	65.04	47.26	55.89
0.66	0.00	58.91	62.18	45.85	53.50
0.67	0.00	56.25	59.28	44.36	51.08
0.68	0.00	53.60	56.36	42.95	48.65
0.69	0.00	50.92	53.44	41.46	46.21
0.69	0.00	48.27	50.53	39.99	43.77
0.70	0.00	45.63	47.63	38.47	41.35
0.71	0.00	43.02	44.76	37.00	38.94
0.72	0.00	40.46	41.93	35.55	36.57
0.73	0.00	37.96	39.15	34.13	34.23
0.74	0.00	35.52	36.43	32.70	31.93
0.75	0.00	33.15	33.79	31.31	29.69
0.75	0.00	30.85	31.22	29.92	27.53
0.76	0.00	28.65	28.74	28.59	25.43
0.77	0.00	26.54	26.35	27.32	23.40
0.78	0.00	24.52	24.05	26.03	21.45
0.79	0.00	22.63	21.85	24.87	19.58
0.80	0.00	20.82	19.76	23.68	17.79
0.81	0.00	19.12	17.77	22.53	16.09
0.81	0.00	17.55	15.90	21.44	14.48
0.82	0.00	16.09	14.13	20.39	12.96
0.83	0.00	14.77	12.49	19.42	11.54
