Orbital Phase(normalized)	Fp/F*(Blackbody ppm)	Fp/F*(Low albedo & Specular ppm)	Fp/F*(Low albedo & Lambert ppm)	Fp/F*(High albedo & Specular ppm)	Fp/F*(High albedo & Lambert ppm)
0.00	-193.32	-193.31	-193.31	-193.31	-193.31
0.02	-193.32	-193.26	-193.31	-193.02	-193.31
0.03	-193.32	-193.02	-193.31	-191.83	-193.30
0.05	0.30	0.82	0.26	2.94	0.14
0.07	0.56	1.06	0.49	3.15	0.28
0.09	0.95	1.40	0.83	3.32	0.48
0.10	1.48	1.85	1.30	3.52	0.78
0.12	2.18	2.45	1.92	3.79	1.17
0.14	3.05	3.19	2.70	4.12	1.66
0.16	4.09	4.08	3.63	4.49	2.26
0.17	5.32	5.13	4.73	4.96	2.96
0.19	6.72	6.33	5.99	5.48	3.78
0.21	8.29	7.67	7.40	6.07	4.70
0.22	10.01	9.15	8.95	6.73	5.71
0.24	11.87	10.76	10.63	7.47	6.81
0.26	13.88	12.49	12.44	8.28	8.01
0.28	16.00	14.31	14.36	9.06	9.28
0.29	18.20	16.20	16.34	9.91	10.59
0.31	20.43	18.11	18.36	10.70	11.93
0.33	22.67	20.05	20.39	11.61	13.28
0.34	24.88	21.95	22.39	12.42	14.62
0.36	27.03	23.80	24.34	13.25	15.92
0.38	29.07	25.57	26.19	14.04	17.16
0.40	30.98	27.21	27.92	14.81	18.31
0.41	32.69	28.69	29.47	15.45	19.35
0.43	34.18	29.96	30.82	15.94	20.26
0.45	35.41	31.02	31.93	16.44	21.01
0.47	0.00	0.00	0.00	0.00	0.00
0.48	0.00	0.00	0.00	0.00	0.00
0.50	0.00	0.00	0.00	0.00	0.00
0.50	0.00	0.00	0.00	0.00	0.00
0.52	0.00	0.00	0.00	0.00	0.00
0.53	0.00	0.00	0.00	0.00	0.00
0.55	35.41	31.02	31.93	16.44	21.01
0.57	34.18	29.96	30.82	15.94	20.26
0.59	32.69	28.69	29.47	15.45	19.35
0.60	30.98	27.21	27.92	14.81	18.31
0.62	29.07	25.57	26.19	14.04	17.16
0.64	27.03	23.80	24.34	13.25	15.92
0.66	24.88	21.95	22.39	12.42	14.62
0.67	22.67	20.05	20.39	11.61	13.28
0.69	20.43	18.11	18.36	10.70	11.93
0.71	18.20	16.20	16.34	9.91	10.59
0.72	16.00	14.31	14.36	9.06	9.28
0.74	13.88	12.49	12.44	8.28	8.01
0.76	11.87	10.76	10.63	7.47	6.81
0.78	10.01	9.15	8.95	6.73	5.71
0.79	8.29	7.67	7.40	6.07	4.70
0.81	6.72	6.33	5.99	5.48	3.78
0.83	5.32	5.13	4.73	4.96	2.96
0.84	4.09	4.08	3.63	4.49	2.26
0.86	3.05	3.19	2.70	4.12	1.66
0.88	2.18	2.45	1.92	3.79	1.17
0.90	1.48	1.85	1.30	3.52	0.78
0.91	0.95	1.40	0.83	3.32	0.48
0.93	0.56	1.06	0.49	3.15	0.28
0.95	0.30	0.82	0.26	2.94	0.14
0.97	-193.32	-193.02	-193.31	-191.83	-193.30
0.98	-193.32	-193.26	-193.31	-193.02	-193.31
1.00	-193.32	-193.31	-193.31	-193.31	-193.31
