Orbital Phase(normalized)	Fp/F*(Blackbody ppm)	Fp/F*(Low albedo & Specular ppm)	Fp/F*(Low albedo & Lambert ppm)	Fp/F*(High albedo & Specular ppm)	Fp/F*(High albedo & Lambert ppm)
0.00	-193.32	-193.32	-193.32	-193.32	-193.32
0.02	-193.32	-193.26	-193.31	-193.08	-193.31
0.03	-193.32	-193.03	-193.31	-192.12	-193.30
0.05	0.48	0.95	0.42	2.54	0.28
0.07	0.86	1.29	0.75	2.83	0.52
0.09	1.40	1.76	1.23	3.15	0.86
0.10	2.12	2.39	1.87	3.54	1.33
0.12	3.05	3.19	2.69	4.05	1.94
0.14	4.17	4.16	3.70	4.66	2.68
0.16	5.51	5.32	4.90	5.37	3.57
0.17	7.06	6.66	6.28	6.21	4.60
0.19	8.81	8.18	7.86	7.15	5.77
0.21	10.74	9.86	9.60	8.19	7.08
0.22	12.86	11.70	11.50	9.33	8.51
0.24	15.12	13.67	13.55	10.57	10.05
0.26	17.54	15.78	15.73	11.91	11.70
0.28	20.09	17.99	18.04	13.26	13.44
0.29	22.71	20.27	20.40	14.68	15.23
0.31	25.36	22.57	22.80	16.04	17.04
0.33	28.00	24.88	25.20	17.51	18.86
0.34	30.60	27.14	27.56	18.88	20.65
0.36	33.12	29.34	29.84	20.24	22.39
0.38	35.51	31.42	32.01	21.52	24.04
0.40	37.72	33.36	34.02	22.74	25.57
0.41	39.71	35.09	35.83	23.79	26.95
0.43	41.44	36.59	37.40	24.66	28.14
0.45	42.85	37.83	38.69	25.44	29.13
0.47	0.00	0.00	0.00	0.00	0.00
0.48	0.00	0.00	0.00	0.00	0.00
0.50	0.00	0.00	0.00	0.00	0.00
0.50	0.00	0.00	0.00	0.00	0.00
0.52	0.00	0.00	0.00	0.00	0.00
0.53	0.00	0.00	0.00	0.00	0.00
0.55	42.85	37.83	38.69	25.44	29.13
0.57	41.44	36.59	37.40	24.66	28.14
0.59	39.71	35.09	35.83	23.79	26.95
0.60	37.72	33.36	34.02	22.74	25.57
0.62	35.51	31.42	32.01	21.52	24.04
0.64	33.12	29.34	29.84	20.24	22.39
0.66	30.60	27.14	27.56	18.88	20.65
0.67	28.00	24.88	25.20	17.51	18.86
0.69	25.36	22.57	22.80	16.04	17.04
0.71	22.71	20.27	20.40	14.68	15.23
0.72	20.09	17.99	18.04	13.26	13.44
0.74	17.54	15.78	15.73	11.91	11.70
0.76	15.12	13.67	13.55	10.57	10.05
0.78	12.86	11.70	11.50	9.33	8.51
0.79	10.74	9.86	9.60	8.19	7.08
0.81	8.81	8.18	7.86	7.15	5.77
0.83	7.06	6.66	6.28	6.21	4.60
0.84	5.51	5.32	4.90	5.37	3.57
0.86	4.17	4.16	3.70	4.66	2.68
0.88	3.05	3.19	2.69	4.05	1.94
0.90	2.12	2.39	1.87	3.54	1.33
0.91	1.40	1.76	1.23	3.15	0.86
0.93	0.86	1.29	0.75	2.83	0.52
0.95	0.48	0.95	0.42	2.54	0.28
0.97	-193.32	-193.03	-193.31	-192.12	-193.30
0.98	-193.32	-193.26	-193.31	-193.08	-193.31
1.00	-193.32	-193.32	-193.32	-193.32	-193.32
